Author,Tags,quotes
"
PabloNeruda,
","love,poetry","
      “I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”
  "
"
GrouchoMarx,
","animals,books,dogs,friends,humor","
      “Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read.”
  "
"
AlbertEinstein
","1929,imagination,inspirational,viereck-interview","
      “I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.”
  "
"
Dr.Seuss
",fantasy,"
      “I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”
  "
"
WilliamShakespeare,
","do-wrong,love,trust,wrong","
      “Love all, trust a few, do wrong to none.”
  "
"
NeilGaiman,
",love,"
      “Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.”
  "
"
SteveMartin
","humor,obvious,simile","
      “A day without sunshine is like, you know, night.”
  "
"
MarkTwain
","humor,procrastination","
      “Never put off till tomorrow what may be done day after tomorrow just as well.”
  "
"
KentM.Keith,
","forgiveness,goodness,happiness,honesty,kindness,misattributed-to-mother-teresa,world","
      “"
"
GeorgeR.R.Martin,
","read,readers,reading,reading-books","
      “A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”
  "
"
Dr.Seuss,
",inspirational,"
      “You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go...”
  "
"
FriedrichNietzsche
","paraphrased,strength","
      “That which does not kill us makes us stronger.”
  "
"
LaoTzu
","courage,deeply-loved,love,strength,widely-misattributed","
      “Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.”
  "
"
GeorgeEliot
","inspirational,source-unknown","
      “It is never too late to be what you might have been.”
  "
"
RalphWaldoEmerson
",happiness,"
      “For every minute you are angry you lose sixty seconds of happiness.”
  "
"
J.K.Rowling,
","courage,friends","
      “It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”
  "
"
MarilynMonroe
","attributed-no-source,friends,heartbreak,inspirational,life,love,sisters","
      “This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”
  "
"
DouglasAdams,
","deadlines,humor,humour,work,writing","
      “I love deadlines. I love the whooshing noise they make as they go by.”
  "
"
MotherTeresa
",attributed-no-source,"
      “If you judge people, you have no time to love them.”
  "
"
SarahDessen,
",love,"
      “There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment.”
  "
"
JohnGreen,
",,"
      “My thoughts are stars I cannot fathom into constellations.”
  "
"
AlbertEinstein
","attributed-no-source,simplicity,understand","
      “If you can't explain it to a six year old, you don't understand it yourself.”
  "
"
FriedrichNietzsche
","lies,lying,trust","
      “I'm not upset that you lied to me, I'm upset that from now on I can't believe you.”
  "
"
RobertA.Heinlein,
","essential,happiness,love","
      “Love is that condition in which the happiness of another person is essential to your own.”
  "
"
MayaAngelou,
","1970,inspirational,stories,writing","
      “There is no greater agony than bearing an untold story inside you.”
  "
"
GarrisonKeillor
","humor,religion","
      “Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”
  "
"
JorgeLuisBorges
","books,library","
      “I have always imagined that Paradise will be a kind of library.”
  "
"
PabloPicasso
","art,imagination,inspirational,life","
      “Everything you can imagine is real.”
  "
"
HarukiMurakami,
","books,thought","
      “If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”
  "
"
RobertA.Heinlein
","cats,humor,women","
      “Women and cats will do as they please, and men and dogs should relax and get used to the idea.”
  "
"
AnaïsNin
",,"
      “We don't see things as they are, we see them as we are.”
  "
"
Dr.Seuss
","attributed-no-source,life","
      “Sometimes the questions are complicated and the answers are simple.”
  "
"
BobMarley
",love,"
      “You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”
  "
"
LemonySnicket,
","books,reading","
      “Never trust anyone who has not brought a book with them.”
  "
"
SuzanneCollins,
","katniss,love,peeta,suzanne-collins,the-hunger-games","
      “You love me. Real or not real?"""
"
WilliamNicholson,
","misattributed-to-c-s-lewis,reading","
      “We read to know we're not alone.”
  "
"
C.S.Lewis
","books,inspirational,reading,tea","
      “You can never get a cup of tea large enough or a book long enough to suit me.”
  "
"
JohnGreen,
","books,power-of-words,reading","
      “Sometimes, you read a book and it fills you with this weird evangelical zeal, and you become convinced that the shattered world will never be put back together unless and until all living humans read the book.”
  "
"
CharlesM.Schulz
","chocolate,food,humor","
      “All you need is love. But a little chocolate now and then doesn't hurt.”
  "
"
JimHenson
",humor,"
      “Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”
  "
"
J.K.Rowling,
",dumbledore,"
      “Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”
  "
"
J.K.Rowling
",,"
      “It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”
  "
"
Dr.Seuss,
","comedy,life,yourself","
      “Today you are You, that is truer than true. There is no one alive who is Youer than You.”
  "
"
J.K.Rowling,
","death,inspirational","
      “To the well-organized mind, death is but the next great adventure.”
  "
"
GeorgeBernardShaw
","inspirational,life,yourself","
      “Life isn't about finding yourself. Life is about creating yourself.”
  "
"
WoodyAllen
","death,fear,humor,life","
      “I'm not afraid of death; I just don't want to be there when it happens.”
  "
"
AlbertEinstein
","attributed-no-source,children,fairy-tales","
      “If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”
  "
"
OscarWilde
","books,reading","
      “If one cannot enjoy reading a book over and over again, there is no use in reading it at all.”
  "
"
CassandraClare,
","city-of-bones,jace","
      “Have you fallen in love with the wrong person yet?'"
"
AlbertEinstein
","attributed-no-source,imagination","
      “Logic will get you from A to Z; imagination will get you everywhere.”
  "
"
JohnGreen,
","doomed,inevitable,love,oblivion,pleasure,simple","
      “I'm in love with you,"" he said quietly."
"
PaulTerry
","exercise,humor,laziness,misattributed-to-hutchins","
      “Whenever I feel the need to exercise, I lie down until it goes away.”
  "
"
NicholasSparks,
",love,"
      “I am nothing special, of this I am sure. I am a common man with common thoughts and I've led a common life. There are no monuments dedicated to me and my name will soon be forgotten, but I've loved another with all my heart and soul, and to me, this has always been enough..”
  "
"
MarkusZusak,
","beauty,life","
      “Sometimes people are beautiful."
"
JohnGreen,
","satisfaction,self-determination","
      “You don't get to choose if you get hurt in this world...but you do have some say in who hurts you. I like my choices.”
  "
"
Dr.Seuss,
","learning,reading,seuss","
      “The more that you read, the more things you will know. The more that you learn, the more places you'll go.”
  "
"
BobMarley
",friendship,"
      “The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”
  "
"
AbrahamLincoln
","attributed-no-source,happiness","
      “Folks are usually about as happy as they make their minds up to be.”
  "
"
WilliamShakespeare,
",love,"
      “Love looks not with the eyes, but with the mind,"
"
TheodoreRoosevelt
",inspirational,"
      “Do what you can, with what you have, where you are.”
  "
"
BobMarley
",music,"
      “One good thing about music, when it hits you, you feel no pain.”
  "
"
ErnestHemingway
","books,friends,novelist-quotes","
      “There is no friend as loyal as a book.”
  "
"
MotherTeresa
","misattributed-to-mother-teresa,paraphrased","
      “Not all of us can do great things. But we can do small things with great love.”
  "
"
GrouchoMarx
","books,humor,reading,television","
      “I find television very educating. Every time somebody turns on the set, I go into the other room and read a book.”
  "
"
DouglasAdams,
","humor,scifi","
      “The story so far:"
"
NicholasSparks,
","love,simile","
      “Love is like the wind, you can't see it but you can feel it.”
  "
"
JoanPowers,
","friendship,misattributed-a-a-milne","
      “If you live to be a hundred, I want to live to be a hundred minus one day so I never have to live without you.”
  "
"
ShelSilverstein
","anything-can-be,hope,impossible,inspirational,musn-t,possibilities,shouldn-t,won-t","
      “Listen to the mustn'ts, child. Listen to the don'ts. Listen to the shouldn'ts, the impossibles, the won'ts. Listen to the never haves, then listen close to me... Anything can happen, child. Anything can be.”
  "
"
HelenKeller
",inspirational,"
      “When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”
  "
"
WinstonS.Churchill
","bravery,courage,failure,inspirational,success","
      “Success is not final, failure is not fatal: it is the courage to continue that counts.”
  "
"
JohnGreen
","humor,nerdfighters","
      “Saying 'I notice you're a nerd' is like saying, 'Hey, I notice that you'd rather be intelligent than be stupid, that you'd rather be thoughtful than be vapid, that you believe that there are things that matter more than the arrest record of Lindsay Lohan. Why is that?' In fact, it seems to me that most contemporary insults are pretty lame. Even 'lame' is kind of lame. Saying 'You're lame' is like saying 'You walk with a limp.' Yeah, whatever, so does 50 Cent, and he's done all right for himself.”
  "
"
J.K.Rowling,
",dumbledore,"
      “It matters not what someone is born, but what they grow to be.”
  "
"
ElizabethGilbert,
",love,"
      “People think a soul mate is your perfect fit, and that's what everyone wants. But a true soul mate is a mirror, the person who shows you everything that is holding you back, the person who brings you to your own attention so you can change your life. "
"
JodiPicoult,
","imperfect,love","
      “You don't love someone because they're perfect, you love them in spite of the fact that they're not.”
  "
"
AlbertEinstein
","life,simile","
      “Life is like riding a bicycle. To keep your balance, you must keep moving.”
  "
"
AlexandreDumas-fils
",misattributed-to-einstein,"
      “The difference between genius and stupidity is: genius has its limits.”
  "
"
StephenChbosky,
","charlie,favourite-books,inspirational,sad,soul-searching,wallflower","
      “So, this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be.”
  "
"
WalterM.MillerJr.,
","body-soul,misattributed-to-c-s-lewis","
      “You don’t "
"
JaneAusten,
","friendship,love","
      “There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”
  "
"
MarilynMonroe
","attributed-no-source,girls,love","
      “If you can make a woman laugh, you can make her do anything.”
  "
"
CharlesBukowski
",humor,"
      “Some people never go crazy. What truly horrible lives they must lead.”
  "
"
RobertFulghum,
","love,weirdness","
      “We’re all a little weird. And life is a little weird. And when we find someone whose weirdness is compatible with ours, we join up with them and fall into mutually satisfying weirdness—and call it love—true love.”
  "
"
AnaisNin
","death,love","
      “Love never dies a natural death. It dies because we don't know how to replenish its source. It dies of blindness and errors and betrayals. It dies of illness and wounds; it dies of weariness, of witherings, of tarnishings.”
  "
"
VirginiaWoolf,
",women,"
      “I would venture to guess that Anon, who wrote so many poems without signing them, was often a woman.”
  "
"
J.D.Salinger,
","authors,books,literature,reading,writing","
      “What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”
  "
"
JohnGreen,
","infinity,john-green,life,tfios,the-fault-in-our-stars","
      “Some infinities are bigger than other infinities.”
  "
"
EleanorRoosevelt
","attributed,fear,inspiration","
      “Do one thing every day that scares you.”
  "
"
TerryPratchett,
","humor,open-mind,thinking","
      “The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”
  "
"
OscarWilde
","books,reading","
      “It is what you read when you don't have to that determines what you will be when you can't help it.”
  "
"
AlfredTennyson
","friendship,love","
      “If I had a flower for every time I thought of you...I could walk through my garden forever.”
  "
"
MartheTroly-Curtin,
","happiness,misattributed-john-lennon,procrastination,time","
      “Time you enjoy wasting is not wasted time.”
  "
"
BillWatterson,
","calvin-and-hobbes,humor,life","
      “Reality continues to ruin my life.”
  "
"
J.R.R.Tolkien,
","bilbo,journey,lost,quest,travel,wander","
      “Not all those who wander are lost.”
  "
"
CassandraClare,
","mortal-instruments,romance,teen-fantasy","
      “There is no pretending,"" Jace said with absolute clarity. ""I love you, and I will love you until I die, and if there is life after that, I'll love you then.”
  "
"
BobMarley
","judge,life,live,perfection","
      “Who are you to judge the life I live?"
